"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2861","User login with correct email and password","LMS system","Thu Dec 11 15:53:47 UTC 2025","passed","Thu Dec 11 15:53:50 UTC 2025","Authorization","Authentication","",""
"","1890","Check displaying of empty courses list","LMS system","Thu Dec 11 15:53:52 UTC 2025","passed","Thu Dec 11 15:53:54 UTC 2025","Courses","Courses","",""
"","1312","Create course","LMS system","Thu Dec 11 15:53:53 UTC 2025","passed","Thu Dec 11 15:53:54 UTC 2025","Courses","Courses","",""
"","1674","User login with wrong email or password","LMS system","Thu Dec 11 15:53:45 UTC 2025","passed","Thu Dec 11 15:53:47 UTC 2025","Authorization","Authentication","",""
"","2452","Edit course","LMS system","Thu Dec 11 15:53:55 UTC 2025","passed","Thu Dec 11 15:53:57 UTC 2025","Courses","Courses","",""
"","1474","User login with wrong email or password","LMS system","Thu Dec 11 15:53:47 UTC 2025","passed","Thu Dec 11 15:53:49 UTC 2025","Authorization","Authentication","",""
"","1345","Navigation from login page to registration page","LMS system","Thu Dec 11 15:53:50 UTC 2025","passed","Thu Dec 11 15:53:52 UTC 2025","Authorization","Authentication","",""
"","1794","Check displaying of dashboard page","LMS system","Thu Dec 11 15:53:55 UTC 2025","passed","Thu Dec 11 15:53:56 UTC 2025","Dashboard","Dashboard","",""
"","1725","User login with wrong email or password","LMS system","Thu Dec 11 15:53:45 UTC 2025","passed","Thu Dec 11 15:53:47 UTC 2025","Authorization","Authentication","",""
"","1803","Registration with correct email, username and password","LMS system","Thu Dec 11 15:53:49 UTC 2025","passed","Thu Dec 11 15:53:51 UTC 2025","Registration","Authentication","",""
