"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1671","User login with wrong email or password","LMS system","Thu Dec 11 16:33:02 UTC 2025","passed","Thu Dec 11 16:33:04 UTC 2025","Authorization","Authentication","",""
"","2862","User login with correct email and password","LMS system","Thu Dec 11 16:33:04 UTC 2025","passed","Thu Dec 11 16:33:07 UTC 2025","Authorization","Authentication","",""
"","1298","Create course","LMS system","Thu Dec 11 16:33:10 UTC 2025","passed","Thu Dec 11 16:33:12 UTC 2025","Courses","Courses","",""
"","1863","Check displaying of empty courses list","LMS system","Thu Dec 11 16:33:10 UTC 2025","passed","Thu Dec 11 16:33:11 UTC 2025","Courses","Courses","",""
"","1366","Navigation from login page to registration page","LMS system","Thu Dec 11 16:33:07 UTC 2025","passed","Thu Dec 11 16:33:09 UTC 2025","Authorization","Authentication","",""
"","1752","Check displaying of dashboard page","LMS system","Thu Dec 11 16:33:12 UTC 2025","passed","Thu Dec 11 16:33:14 UTC 2025","Dashboard","Dashboard","",""
"","1767","Registration with correct email, username and password","LMS system","Thu Dec 11 16:33:06 UTC 2025","passed","Thu Dec 11 16:33:08 UTC 2025","Registration","Authentication","",""
"","2482","Edit course","LMS system","Thu Dec 11 16:33:12 UTC 2025","passed","Thu Dec 11 16:33:14 UTC 2025","Courses","Courses","",""
"","1507","User login with wrong email or password","LMS system","Thu Dec 11 16:33:04 UTC 2025","passed","Thu Dec 11 16:33:06 UTC 2025","Authorization","Authentication","",""
"","1675","User login with wrong email or password","LMS system","Thu Dec 11 16:33:02 UTC 2025","passed","Thu Dec 11 16:33:04 UTC 2025","Authorization","Authentication","",""
