"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2947","User login with wrong email or password","LMS system","Thu Dec 11 16:27:34 UTC 2025","passed","Thu Dec 11 16:27:37 UTC 2025","Authorization","Authentication","",""
"","1991","User login with wrong email or password","LMS system","Thu Dec 11 16:27:32 UTC 2025","passed","Thu Dec 11 16:27:34 UTC 2025","Authorization","Authentication","",""
"","1268","Navigation from login page to registration page","LMS system","Thu Dec 11 16:27:37 UTC 2025","passed","Thu Dec 11 16:27:39 UTC 2025","Authorization","Authentication","",""
"","2671","User login with correct email and password","LMS system","Thu Dec 11 16:27:34 UTC 2025","passed","Thu Dec 11 16:27:37 UTC 2025","Authorization","Authentication","",""
"","2443","Edit course","LMS system","Thu Dec 11 16:27:43 UTC 2025","passed","Thu Dec 11 16:27:45 UTC 2025","Courses","Courses","",""
"","1975","Registration with correct email, username and password","LMS system","Thu Dec 11 16:27:37 UTC 2025","passed","Thu Dec 11 16:27:39 UTC 2025","Registration","Authentication","",""
"","2031","User login with wrong email or password","LMS system","Thu Dec 11 16:27:32 UTC 2025","passed","Thu Dec 11 16:27:34 UTC 2025","Authorization","Authentication","",""
"","2041","Check displaying of empty courses list","LMS system","Thu Dec 11 16:27:40 UTC 2025","passed","Thu Dec 11 16:27:42 UTC 2025","Courses","Courses","",""
"","1860","Check displaying of dashboard page","LMS system","Thu Dec 11 16:27:43 UTC 2025","passed","Thu Dec 11 16:27:44 UTC 2025","Dashboard","Dashboard","",""
"","1372","Create course","LMS system","Thu Dec 11 16:27:41 UTC 2025","passed","Thu Dec 11 16:27:42 UTC 2025","Courses","Courses","",""
